"Year","Pack","PackYear","WhelpDate","WhelpYday","PackSize","littersize","yrlsurv","Rain_PostDenningMonths","Rain_DenningMonths","mean_conception_temp","mean_max_conception_temp","mean_postdenning_temp","mean_max_postdenning_temp","mean_denning_temp","mean_max_denning_temp","mean_whelping_temp","max_whelping_temp","Rain_WhelpMonth","Rain_ConceptionMonth","WhelpDaysBeforeNadir","yearly_temp_mean","yearly_temp_max","denning_temp_mean","denning_temp_max","Sep_temp_mean","Sep_temp_max","May_temp_mean","May_temp_max","March_temp_mean","March_temp_max","May_rain","March_rain","prev_Sep_rain","Annual_rain","prev_yearly_temp_mean","prev_yearly_temp_max","prev_Annual_rain"
1995,"DANG","DANG-1995",1995-05-30,150,15,16,9,393.4,7.1,30.520695,35.359406,26.2441071712277,30.6000083064964,22.6063777001831,28.2870586813187,23.7402758333333,28.10079,7,56.8,18,28.3825130088128,49.39841,24.226131209695,42.89999,31.1161571944444,42.89999,23.033651155914,31.3774,29.5930578494624,39.63231,7,56.8,0.3,325.5,27.6343851760274,46.85453,291
1995,"STW","STW-1995",1995-06-01,152,9,10,NA,393.4,0.1,29.6397665555556,34.335274,26.2339900895138,30.5894998334259,22.7608412441392,28.4274796703297,21.9554075,27.3043,0,56.8,16,28.3825130088128,49.39841,24.226131209695,42.89999,31.1161571944444,42.89999,23.033651155914,31.3774,29.5930578494624,39.63231,7,56.8,0.3,325.5,27.6343851760274,46.85453,291
1995,"MOGOG","MOGOG-1995",1995-06-09,160,14,10,NA,407.2,2.3,25.0689076153846,28.5808753333333,26.1924124750866,30.5464459744586,23.519295575641,29.3163228571429,21.3032616666667,26.19951,0,56.8,8,28.3825130088128,49.39841,24.226131209695,42.89999,31.1161571944444,42.89999,23.033651155914,31.3774,29.5930578494624,39.63231,7,56.8,0.3,325.5,27.6343851760274,46.85453,291
1995,"MOPANE","MOPANE-1995",1995-06-16,167,4,8,NA,407.2,2.3,25.6959031153846,29.0796626666667,26.1622302582626,30.5072073736813,24.2189356195971,29.9611007692308,18.3199480833333,22.98741,0,10.6,1,28.3825130088128,49.39841,24.226131209695,42.89999,31.1161571944444,42.89999,23.033651155914,31.3774,29.5930578494624,39.63231,7,56.8,0.3,325.5,27.6343851760274,46.85453,291
1996,"KAHLUA","KAHLUA-1996",1996-05-21,142,NA,NA,NA,318.5,11.7,27.0265709444444,31.2670673333333,26.0045115973825,30.2623890061077,21.0199933985348,26.3260931868132,22.7938966666667,27.47239,10.5,13.9,48,26.7032711842441,45.26025,24.4002817911765,43.65648,30.4749301388889,43.65648,23.202447016129,31.95695,26.9137947311828,35.10385,10.5,13.9,2.2,420.4,28.3825130088128,49.39841,325.5
1996,"DANG","DANG-1996",1996-05-30,151,NA,NA,NA,318.5,11.7,27.0589565,31.646122,25.9596036765052,30.2128133092726,21.7445512556777,27.0660752747253,21.82083,27.16294,10.5,13.9,39,26.7032711842441,45.26025,24.4002817911765,43.65648,30.4749301388889,43.65648,23.202447016129,31.95695,26.9137947311828,35.10385,10.5,13.9,2.2,420.4,28.3825130088128,49.39841,325.5
1996,"N.MAX","N.MAX-1996",1996-06-01,153,NA,NA,NA,318.5,1.2,27.1548058888889,31.6394513333333,25.9535920463923,30.2066116601888,21.8185088838828,27.1242831868132,24.9235533333333,33.26425,0.1,13.9,37,26.7032711842441,45.26025,24.4002817911765,43.65648,30.4749301388889,43.65648,23.202447016129,31.95695,26.9137947311828,35.10385,10.5,13.9,2.2,420.4,28.3825130088128,49.39841,325.5
1996,"MAXWEE","MAXWEE-1996",1996-07-02,184,NA,NA,NA,429.1,3.7,26.1897607222222,30.7695333333333,25.8888217747377,30.1456801610217,24.9860969424908,30.2247774725275,17.50233575,25.19718,1,13.5,6,26.7032711842441,45.26025,24.4002817911765,43.65648,30.4749301388889,43.65648,23.202447016129,31.95695,26.9137947311828,35.10385,10.5,13.9,2.2,420.4,28.3825130088128,49.39841,325.5
1997,"N.MOG","N.MOG-1997",1997-05-20,140,5,11,0,288.3,11.4,26.0743003333333,29.7838133333333,26.2695323825616,30.6355075013881,20.6498010058608,25.5696534065934,21.7603483333333,28.14462,10.5,110.7,9,25.6906051480365,45.96173,23.6789343252723,41.38853,29.6159367777778,41.38853,20.4764902096774,30.28213,25.0983229569892,34.55943,10.5,110.7,2.6,437.6,26.7032711842441,45.26025,420.4
1997,"DANG","DANG-1997",1997-05-21,141,21,15,7,288.3,11.4,25.8203752222222,29.3264326666667,26.2673492977476,30.6352284897279,20.6976953282051,25.5952967032967,21.0142225,25.63294,10.5,110.7,8,25.6906051480365,45.96173,23.6789343252723,41.38853,29.6159367777778,41.38853,20.4764902096774,30.28213,25.0983229569892,34.55943,10.5,110.7,2.6,437.6,26.7032711842441,45.26025,420.4
1997,"MAXWEE","MAXWEE-1997",1997-06-12,163,6,11,0,331.1,12.5,24.4837892564103,28.0842053333333,26.2299064977893,30.6185701110494,22.5210853300366,27.6798085714286,20.9635991666667,22.62484,0.6,15.1,-14,25.6906051480365,45.96173,23.6789343252723,41.38853,29.6159367777778,41.38853,20.4764902096774,30.28213,25.0983229569892,34.55943,10.5,110.7,2.6,437.6,26.7032711842441,45.26025,420.4
1997,"KAHLUA","KAHLUA-1997",1997-06-13,164,10,10,6,331.1,12.5,24.2579995897436,28.1190246666667,26.2317138201102,30.6209714880622,22.5268325461538,27.689686043956,17.4378541666667,21.33229,0.6,15.1,-15,25.6906051480365,45.96173,23.6789343252723,41.38853,29.6159367777778,41.38853,20.4764902096774,30.28213,25.0983229569892,34.55943,10.5,110.7,2.6,437.6,26.7032711842441,45.26025,420.4
1997,"N.MAX","N.MAX-1997",1997-06-16,167,11,10,3,331.1,12.5,24.1690903119658,28.3540073333333,26.2425951411356,30.6387297223765,22.6033345708791,27.6985054945055,24.2243066666667,30.73535,0.6,15.1,-18,25.6906051480365,45.96173,23.6789343252723,41.38853,29.6159367777778,41.38853,20.4764902096774,30.28213,25.0983229569892,34.55943,10.5,110.7,2.6,437.6,26.7032711842441,45.26025,420.4
1997,"DUSTIN","DUSTIN-1997",1997-06-24,175,9,10,3,331.1,12.5,22.7231862564103,26.208304,26.2587002822609,30.6563771793448,22.9340570086081,27.9295396703297,17.84250575,25.30206,0.6,15.1,-26,25.6906051480365,45.96173,23.6789343252723,41.38853,29.6159367777778,41.38853,20.4764902096774,30.28213,25.0983229569892,34.55943,10.5,110.7,2.6,437.6,26.7032711842441,45.26025,420.4
