"Year","Pack","PackYear","WhelpDate","WhelpYday","PackSize","littersize","yrlsurv","Rain_PostDenningMonths","Rain_DenningMonths","mean_conception_temp","mean_max_conception_temp","mean_postdenning_temp","mean_max_postdenning_temp","mean_denning_temp","mean_max_denning_temp","mean_whelping_temp","max_whelping_temp","Rain_WhelpMonth","Rain_ConceptionMonth","WhelpDaysBeforeNadir","yearly_temp_mean","yearly_temp_max","denning_temp_mean","denning_temp_max","Sep_temp_mean","Sep_temp_max","May_temp_mean","May_temp_max","March_temp_mean","March_temp_max","May_rain","March_rain","prev_Sep_rain","Annual_rain","prev_yearly_temp_mean","prev_yearly_temp_max","prev_Annual_rain"
2001,"CHIT","CHIT-2001",2001-06-02,153,NA,NA,NA,287.6,2.5,24.4942177777778,28.1383113333333,27.3269870464064,32.0862403109384,21.3631049792125,26.1482634065934,21.9647816666667,26.49806,1.2,59.1,49,25.8722988991553,43.40452,21.3608980506536,35.99729,26.9258148,35.99729,21.2198576639785,27.45594,25.0456585215054,35.06153,7.7,59.1,4.6,418.5,24.6460884792805,45.35311,454.7
2001,"MOGO","MOGO-2001",2001-06-10,161,14,12,2,326.8,11.9,23.6408312905983,26.1845733333333,27.2953748187088,32.0604251304831,22.0512056019231,26.9484695604396,20.501085,23.90581,1.2,59.1,41,25.8722988991553,43.40452,21.3608980506536,35.99729,26.9258148,35.99729,21.2198576639785,27.45594,25.0456585215054,35.06153,7.7,59.1,4.6,418.5,24.6460884792805,45.35311,454.7
2001,"NULL","NULL-2001",2001-06-14,165,NA,NA,NA,326.8,11.9,23.8134049017094,26.4913766666667,27.2736567019218,32.0427045197113,22.5518895945971,27.5074517582418,20.0043966666667,23.87277,1.2,36.5,37,25.8722988991553,43.40452,21.3608980506536,35.99729,26.9258148,35.99729,21.2198576639785,27.45594,25.0456585215054,35.06153,7.7,59.1,4.6,418.5,24.6460884792805,45.35311,454.7
2002,"KWARA","KWARA-2002",2002-04-26,116,6,9,NA,206.8,45.6,28.7357549444444,33.744692,27.5541726032031,32.3672238423098,22.1014013418498,27.5418924175824,27.5180141666667,32.30512,33.8,61.1,51,28.0466559051598,46.00676,22.9593175154139,41.96873,29.5912504166667,41.96873,24.4210365591398,35.85669,29.8491187365591,40.29597,9.6,40.2,9.4,352.8,25.8722988991553,43.40452,418.5
2002,"TRAVOL","TRAVOL-2002",2002-05-08,128,4,6,0,278.1,13.8,30.8628948888889,35.9124073333333,27.5163859567844,32.315630955025,21.7252572111722,27.421893956044,23.5272791666667,27.23667,9.6,61.1,39,28.0466559051598,46.00676,22.9593175154139,41.96873,29.5912504166667,41.96873,24.4210365591398,35.85669,29.8491187365591,40.29597,9.6,40.2,9.4,352.8,25.8722988991553,43.40452,418.5
2002,"MBOMA 6","MBOMA 6-2002",2002-05-10,130,6,9,0,278.1,13.8,31.4154995,36.457392,27.511945235102,32.311220860633,21.746523520696,27.4459925274725,23.2845375,29.32811,9.6,61.1,37,28.0466559051598,46.00676,22.9593175154139,41.96873,29.5912504166667,41.96873,24.4210365591398,35.85669,29.8491187365591,40.29597,9.6,40.2,9.4,352.8,25.8722988991553,43.40452,418.5
2002,"XAKMAX","XAKMAX-2002",2002-05-11,131,NA,NA,NA,278.1,13.8,31.4490234444444,36.3099626666667,27.5094804187963,32.3090215158245,21.7425528979853,27.4124823076923,23.6047533333333,28.98406,9.6,61.1,36,28.0466559051598,46.00676,22.9593175154139,41.96873,29.5912504166667,41.96873,24.4210365591398,35.85669,29.8491187365591,40.29597,9.6,40.2,9.4,352.8,25.8722988991553,43.40452,418.5
2002,"MOGO","MOGO-2002",2002-05-13,133,12,12,10,278.1,13.8,30.7445039444444,35.363816,27.5076449579412,32.3089910272071,21.7216504163004,27.3725984615385,23.7228083333333,29.52178,9.6,40.2,34,28.0466559051598,46.00676,22.9593175154139,41.96873,29.5912504166667,41.96873,24.4210365591398,35.85669,29.8491187365591,40.29597,9.6,40.2,9.4,352.8,25.8722988991553,43.40452,418.5
2002,"PONCH","PONCH-2002",2002-05-16,136,3,NA,NA,278.1,13.8,30.3490118333333,35.3843733333333,27.5037884957905,32.3054875124931,21.7782560298535,27.386923956044,22.5987191666667,28.29331,9.6,40.2,31,28.0466559051598,46.00676,22.9593175154139,41.96873,29.5912504166667,41.96873,24.4210365591398,35.85669,29.8491187365591,40.29597,9.6,40.2,9.4,352.8,25.8722988991553,43.40452,418.5
2002,"NULL","NULL-2002",2002-05-26,146,NA,NA,NA,278.1,13.8,30.0792183333333,35.0622873333333,27.4720739089406,32.2830177901166,22.2211323576923,27.8605178021978,28.386535,34.422,9.6,40.2,21,28.0466559051598,46.00676,22.9593175154139,41.96873,29.5912504166667,41.96873,24.4210365591398,35.85669,29.8491187365591,40.29597,9.6,40.2,9.4,352.8,25.8722988991553,43.40452,418.5
2002,"ZANKUYO","ZANKUYO-2002",2002-06-04,155,NA,NA,NA,326.7,10.4,29.0786785555556,33.9658446666667,27.4532766035547,32.2725127984453,22.5774409474359,28.2958876923077,20.7920583333333,25.40143,2,40.2,12,28.0466559051598,46.00676,22.9593175154139,41.96873,29.5912504166667,41.96873,24.4210365591398,35.85669,29.8491187365591,40.29597,9.6,40.2,9.4,352.8,25.8722988991553,43.40452,418.5
2003,"ZANKUYO","ZANKUYO-2003",2003-06-08,159,NA,NA,NA,378.1,6.9,25.2427473888889,28.6331146666667,27.2829737606009,32.1157919822321,22.2118842320513,27.3296096703297,26.6768958333333,31.19215,1.7,50.6,25,28.1149980094521,46.81894,24.2201249208061,46.00676,29.7401127777778,46.00676,24.2596180913979,36.8834,28.3705663978495,41.09049,3.4,50.6,6.2,353.1,28.0466559051598,46.00676,352.8
2004,"ZANKUYO","ZANKUYO-2004",2004-06-04,156,NA,NA,NA,331.7,7.1,23.1405782777778,25.2500006666667,27.3262727360209,32.1940671960022,21.3568954994505,26.77433,17.1779458333333,22.4363,0.8,71.6,54,26.9285427252732,47.16823,24.1393699027233,41.17638,30.8806696388889,41.17638,21.9527282903226,32.81619,24.1749795698925,39.93316,3.6,71.6,4.5,414.8,28.1149980094521,46.81894,353.1
2004,"XAKMAX","XAKMAX-2004",2004-06-09,161,10,11,4,331.7,7.1,22.8197619700855,24.9205113333333,27.3223219466446,32.1853624819545,21.7674146569597,27.2121902197802,18.4052683333333,21.83626,0.8,71.6,49,26.9285427252732,47.16823,24.1393699027233,41.17638,30.8806696388889,41.17638,21.9527282903226,32.81619,24.1749795698925,39.93316,3.6,71.6,4.5,414.8,28.1149980094521,46.81894,353.1
2004,"MOGO","MOGO-2004",2004-06-11,163,21,11,2,331.7,7.1,22.9070765811966,25.0774073333333,27.3222774338739,32.1848109605775,21.9669712045788,27.4675046153846,17.3716966666667,21.65344,0.8,71.6,47,26.9285427252732,47.16823,24.1393699027233,41.17638,30.8806696388889,41.17638,21.9527282903226,32.81619,24.1749795698925,39.93316,3.6,71.6,4.5,414.8,28.1149980094521,46.81894,353.1
2005,"HEWITT","HEWITT-2005",2005-04-08,98,3,3,1,232.2,36.5,27.7625132777778,31.7020933333333,27.388035417235,32.2883263353692,24.3947451630037,29.1875034065934,25.9980075,28.2083,30.4,88.7,92,28.3994486636986,48.74412,22.8245631750545,41.48376,28.8506989166667,41.48376,24.9944746774194,34.78366,29.2250750806452,41.09477,5.1,53.5,5.7,370.6,26.9285427252732,47.16823,414.8
2005,"MOTOPI","MOTOPI-2005",2005-04-09,99,5,11,0,232.2,36.5,28.2449725555556,32.3626626666667,27.3902114287101,32.2926987784564,24.3165389267399,29.119783956044,26.98768,32.12886,30.4,88.7,91,28.3994486636986,48.74412,22.8245631750545,41.48376,28.8506989166667,41.48376,24.9944746774194,34.78366,29.2250750806452,41.09477,5.1,53.5,5.7,370.6,26.9285427252732,47.16823,414.8
2005,"ZANKUYO","ZANKUYO-2005",2005-05-17,137,9,8,6,321.7,6.4,32.4973213888889,37.4723546666667,27.3187241616825,32.1970943364797,22.6952259587912,28.2038296703297,26.8255666666667,32.14256,5.1,53.5,53,28.3994486636986,48.74412,22.8245631750545,41.48376,28.8506989166667,41.48376,24.9944746774194,34.78366,29.2250750806452,41.09477,5.1,53.5,5.7,370.6,26.9285427252732,47.16823,414.8
2005,"XAKMAX","XAKMAX-2005",2005-05-23,143,9,10,6,321.7,6.4,30.9666293888889,35.7911233333333,27.2902093930354,32.1610236979456,22.9714508763736,28.5205683516484,25.2820775,30.47217,5.1,53.5,47,28.3994486636986,48.74412,22.8245631750545,41.48376,28.8506989166667,41.48376,24.9944746774194,34.78366,29.2250750806452,41.09477,5.1,53.5,5.7,370.6,26.9285427252732,47.16823,414.8
2005,"AGATE","AGATE-2005",2005-06-10,161,5,10,0,379.4,4.4,24.6468351111111,27.6229513333333,27.2074962817084,32.0661078234314,24.5793926217949,29.9144925274725,23.1773758333333,29.73793,0.8,53.5,29,28.3994486636986,48.74412,22.8245631750545,41.48376,28.8506989166667,41.48376,24.9944746774194,34.78366,29.2250750806452,41.09477,5.1,53.5,5.7,370.6,26.9285427252732,47.16823,414.8
2005,"NEW CHIT","NEW CHIT-2005",2005-06-20,171,7,8,5,379.4,4.4,26.2938279444444,30.3368926666667,27.1686474648474,32.0376798278734,25.2632018067766,30.5709597802198,21.6003533333333,26.80004,0.8,30.4,19,28.3994486636986,48.74412,22.8245631750545,41.48376,28.8506989166667,41.48376,24.9944746774194,34.78366,29.2250750806452,41.09477,5.1,53.5,5.7,370.6,26.9285427252732,47.16823,414.8
2006,"ZANKUYO","ZANKUYO-2006",2006-05-29,149,NA,NA,NA,250.5,7.7,24.4757058333333,27.373938,27.4966075492957,32.4622017434758,19.9670018063187,25.7296815384615,22.1294191666667,27.48957,4.7,58,30,25.3230196106164,48.38036,25.4682493393246,48.74412,31.4656900833333,48.74412,20.750817344086,30.16551,23.8776000806452,33.04202,4.7,58,3.1,420.1,28.3994486636986,48.74412,370.6
2006,"MANKWE","MANKWE-2006",2006-06-02,153,NA,NA,NA,250.5,3,24.8374281111111,28.163986,27.4876388909115,32.4578333425874,20.1368553960623,25.8798118681319,18.3947033333333,23.69082,1.1,58,26,25.3230196106164,48.38036,25.4682493393246,48.74412,31.4656900833333,48.74412,20.750817344086,30.16551,23.8776000806452,33.04202,4.7,58,3.1,420.1,28.3994486636986,48.74412,370.6
2007,"MATTHEWS","MATTHEWS-2007",2007-06-02,153,NA,NA,NA,317.7,2.8,33.3558577777778,39.3701746666667,27.3163578822661,32.3505997223765,22.3716259193223,27.8948681318681,24.3946266666667,27.03936,2.3,45.7,-10,28.2254059796575,47.60641,21.77231929439,39.06409,27.8504165833333,39.06409,23.9575343736559,36.3002,31.5516875268817,47.60641,3.2,45.7,3.2,354.5,25.3230196106164,48.38036,420.1
2008,"MATTHEWS","MATTHEWS-2008",2008-06-02,154,NA,NA,NA,296.1,1.9,25.2218920555556,28.6458086666667,27.6655614912583,32.7757162076624,22.888963507326,28.4020404395604,21.8163041666667,26.48464,1.2,59.9,34,27.515565942623,46.45343,24.5130914928649,42.16699,31.5541991111111,42.16699,24.7539719086021,35.26283,26.660240483871,40.33729,5.4,59.9,9.5,398.9,28.2254059796575,47.60641,354.5
2008,"MANKWE","MANKWE-2008",2008-06-15,167,NA,NA,NA,350.7,4.8,27.3930456111111,32.126488,27.6318955542927,32.7534044530816,24.1140989368132,29.5885302197802,20.0216835833333,25.57819,1.2,27.9,21,27.515565942623,46.45343,24.5130914928649,42.16699,31.5541991111111,42.16699,24.7539719086021,35.26283,26.660240483871,40.33729,5.4,59.9,9.5,398.9,28.2254059796575,47.60641,354.5
2008,"XAKMAX","XAKMAX-2008",2008-07-11,193,NA,NA,NA,368.8,19.4,25.4836215555556,30.9190606666667,27.5775355737263,32.695539516935,27.5615824065934,33.124247032967,24.4944083333333,28.58826,0.2,27.9,-5,27.515565942623,46.45343,24.5130914928649,42.16699,31.5541991111111,42.16699,24.7539719086021,35.26283,26.660240483871,40.33729,5.4,59.9,9.5,398.9,28.2254059796575,47.60641,354.5
2009,"HAWKING","HAWKING-2009",2009-05-28,148,NA,NA,NA,370.1,10.8,24.5092418333333,27.3822606666667,27.7619173596139,32.8929892837313,20.9031996627289,26.0513450549451,22.2674275,27.5425,7.5,55.1,58,27.478632888516,50.93837,24.9922167538126,46.45343,31.67211425,46.45343,24.4915694354839,34.92411,24.8425788172043,34.67468,7.5,55.1,2.9,396.9,27.515565942623,46.45343,398.9
2009,"MATTHEWS","MATTHEWS-2009",2009-05-30,150,NA,NA,NA,370.1,10.8,25.0281177777778,28.3795313333333,27.7599340917534,32.8914072237646,20.9554144429487,26.1232578021978,26.0971491666667,34.35844,7.5,55.1,56,27.478632888516,50.93837,24.9922167538126,46.45343,31.67211425,46.45343,24.4915694354839,34.92411,24.8425788172043,34.67468,7.5,55.1,2.9,396.9,27.515565942623,46.45343,398.9
2009,"CHTB","CHTB-2009",2009-06-06,157,NA,NA,NA,428.8,9.2,26.6636967777778,30.9955606666667,27.7561200259566,32.8839536535258,21.1219480967949,26.2624398901099,22.2453283333333,31.05496,2.4,55.1,49,27.478632888516,50.93837,24.9922167538126,46.45343,31.67211425,46.45343,24.4915694354839,34.92411,24.8425788172043,34.67468,7.5,55.1,2.9,396.9,27.515565942623,46.45343,398.9
2009,"XAKMAX","XAKMAX-2009",2009-06-21,172,NA,NA,NA,428.8,9.2,26.9913552777778,31.9291893333333,27.7121859097249,32.8292237590228,22.8036971764652,28.0942247252747,19.2870268333333,25.88464,2.4,21,34,27.478632888516,50.93837,24.9922167538126,46.45343,31.67211425,46.45343,24.4915694354839,34.92411,24.8425788172043,34.67468,7.5,55.1,2.9,396.9,27.515565942623,46.45343,398.9
2010,"MATHEWS","MATHEWS-2010",2010-05-25,145,10,NA,NA,313.1,10.2,30.1097413461538,35.700888,27.8953330445626,33.1071432926152,20.8624398489011,25.7937753846154,22.2812108333333,27.59859,9,59.1,22,27.6768927180365,48.08968,23.7647070597495,44.11267,31.5684489166667,44.11267,24.1173262634409,33.03904,27.6896613172043,41.04346,9,59.1,5.9,465.3,27.478632888516,50.93837,396.9
2010,"HAWKING","HAWKING-2010",2010-06-07,158,6,NA,NA,408.2,3.2,26.6721082222222,30.4899573333333,27.8591765627932,33.0761016879511,21.7074158534799,26.6095359340659,19.5625383333333,25.09256,0.6,59.1,9,27.6768927180365,48.08968,23.7647070597495,44.11267,31.5684489166667,44.11267,24.1173262634409,33.03904,27.6896613172043,41.04346,9,59.1,5.9,465.3,27.478632888516,50.93837,396.9
2010,"XAKMAX","XAKMAX-2010",2010-06-09,160,9,NA,NA,408.2,3.2,26.4043495,30.067652,27.8527014336982,33.070118195447,21.9151500201465,26.7795332967033,23.77252,33.1733,0.6,59.1,7,27.6768927180365,48.08968,23.7647070597495,44.11267,31.5684489166667,44.11267,24.1173262634409,33.03904,27.6896613172043,41.04346,9,59.1,5.9,465.3,27.478632888516,50.93837,396.9
2010,"CHTB","CHTB-2010",2010-06-20,171,NA,NA,NA,408.2,3.2,27.2648978888889,31.6918613333333,27.840723978118,33.0685249639089,23.2058640860806,27.9250083516484,16.80928875,21.91614,0.6,39,-4,27.6768927180365,48.08968,23.7647070597495,44.11267,31.5684489166667,44.11267,24.1173262634409,33.03904,27.6896613172043,41.04346,9,59.1,5.9,465.3,27.478632888516,50.93837,396.9
2011,"HAWKING","HAWKING-2011",2011-05-27,147,6,5,2,284.7,9.7,28.863691017094,33.6516733333333,28.2626648664092,33.506716579678,19.7615371662088,25.8703717582418,18.1144483333333,23.86252,6.2,95.5,30,26.5045793505708,49.74799,23.6092923175381,37.77163,30.31049375,37.77163,21.3378942795699,31.28194,27.8453432795699,41.24532,6.2,95.5,2,465.1,27.6768927180365,48.08968,465.3
2011,"MATHEWS","MATHEWS-2011",2011-06-03,154,18,12,4,283.9,6.8,27.4085272777778,31.155548,28.2458460101349,33.4937390782898,20.4225618438645,26.5409063736264,16.95444225,23.3251,2.4,95.5,23,26.5045793505708,49.74799,23.6092923175381,37.77163,30.31049375,37.77163,21.3378942795699,31.28194,27.8453432795699,41.24532,6.2,95.5,2,465.1,27.6768927180365,48.08968,465.3
2011,"SARAH","SARAH-2011",2011-06-09,160,3,10,2,338,6.8,27.2331798333333,31.2773593333333,28.2235603080712,33.4704981787896,21.1072510865385,27.0868768131868,15.7820159166667,21.50668,2.4,95.5,17,26.5045793505708,49.74799,23.6092923175381,37.77163,30.31049375,37.77163,21.3378942795699,31.28194,27.8453432795699,41.24532,6.2,95.5,2,465.1,27.6768927180365,48.08968,465.3
2011,"CHTB","CHTB-2011",2011-06-11,162,23,11,0,338,6.8,26.3869376666667,30.3725873333333,28.2203782541197,33.4688377068295,21.3518041240842,27.3262663736264,19.50225,28.32626,2.4,95.5,15,26.5045793505708,49.74799,23.6092923175381,37.77163,30.31049375,37.77163,21.3378942795699,31.28194,27.8453432795699,41.24532,6.2,95.5,2,465.1,27.6768927180365,48.08968,465.3
2011,"MANKWE","MANKWE-2011",2011-06-14,165,10,10,0,338,6.8,25.8424701666667,29.778208,28.2224283397203,33.4675574680733,21.6378282110806,27.6096551648352,18.7848418333333,24.20022,2.4,44.2,12,26.5045793505708,49.74799,23.6092923175381,37.77163,30.31049375,37.77163,21.3378942795699,31.28194,27.8453432795699,41.24532,6.2,95.5,2,465.1,27.6768927180365,48.08968,465.3
2011,"CYCLONE","CYCLONE-2011",2011-06-24,175,4,8,6,338,6.8,24.8055857222222,29.4032466666667,28.2053076933202,33.4419100055525,22.9494197760989,28.9203592307692,16.0809093333333,20.28773,2.4,44.2,2,26.5045793505708,49.74799,23.6092923175381,37.77163,30.31049375,37.77163,21.3378942795699,31.28194,27.8453432795699,41.24532,6.2,95.5,2,465.1,27.6768927180365,48.08968,465.3
2012,"MATTHEWS","MATTHEWS-2012",2012-06-01,153,11,10,7,284.6,2.4,27.2266461111111,31.6840206666667,28.2523898204072,33.3644421043865,21.9220421907692,28.0151674725275,22.14029,26.68254,1.7,54.1,45,27.570875656949,46.5683,22.4408293929739,46.36486,30.18679175,46.36486,23.5560633413978,34.83507,28.2770521505376,44.31286,3.4,54.1,3.3,360.9,26.5045793505708,49.74799,465.1
2012,"KOBE","KOBE-2012",2012-06-05,157,NA,11,7,332.9,7.3,26.1595739444444,30.2094506666667,28.2364010167333,33.3507383287063,22.3436882805128,28.4562601098901,19.7776808333333,28.26411,1.7,54.1,41,27.570875656949,46.5683,22.4408293929739,46.36486,30.18679175,46.36486,23.5560633413978,34.83507,28.2770521505376,44.31286,3.4,54.1,3.3,360.9,26.5045793505708,49.74799,465.1
2012,"MANKWE","MANKWE-2012",2012-06-07,159,4,8,0,332.9,7.3,25.7219794444444,29.665172,28.227054000261,33.3370200610772,22.605600507619,28.7066387912088,19.8332223333333,27.93158,1.7,54.1,39,27.570875656949,46.5683,22.4408293929739,46.36486,30.18679175,46.36486,23.5560633413978,34.83507,28.2770521505376,44.31286,3.4,54.1,3.3,360.9,26.5045793505708,49.74799,465.1
2012,"HAWKING","HAWKING-2012",2012-06-16,168,7,6,3,332.9,7.3,26.7420559444444,31.976294,28.2011368838442,33.3030459689062,23.6552267477106,29.8750286813187,17.3205520833333,23.63268,1.7,27.4,30,27.570875656949,46.5683,22.4408293929739,46.36486,30.18679175,46.36486,23.5560633413978,34.83507,28.2770521505376,44.31286,3.4,54.1,3.3,360.9,26.5045793505708,49.74799,465.1
2012,"SARAH","SARAH-2012",2012-06-19,171,5,7,0,332.9,7.3,26.8608190555556,32.2243813333333,28.1881781026115,33.2927702554137,24.032230323718,30.1755267032967,20.1731883333333,25.42286,1.7,27.4,27,27.570875656949,46.5683,22.4408293929739,46.36486,30.18679175,46.36486,23.5560633413978,34.83507,28.2770521505376,44.31286,3.4,54.1,3.3,360.9,26.5045793505708,49.74799,465.1
2012,"CYCLONE","CYCLONE-2012",2012-07-16,198,9,9,NA,358,25.3,25.729181,31.8111166666667,28.1195227865834,33.2405645807885,27.5118047046703,33.3532275824176,14.8686904166667,19.18994,0.3,3.4,0,27.570875656949,46.5683,22.4408293929739,46.36486,30.18679175,46.36486,23.5560633413978,34.83507,28.2770521505376,44.31286,3.4,54.1,3.3,360.9,26.5045793505708,49.74799,465.1
2013,"BONGWE","BONGWE-2013",2013-06-12,163,NA,9,4,350.8,5.1,31.2607791666667,36.0645853333333,27.9505276075781,33.0313653192671,24.1802978065018,30.1290283516484,22.1463325,28.68441,0.9,30,32,29.339882818653,51.35299,23.9661885159695,41.98996,30.2582877222222,41.98996,24.8370161854839,35.58557,32.4780377419355,45.29171,3.6,48.7,4.9,385.4,27.570875656949,46.5683,360.9
2014,"HAT","HAT-2014",2014-06-04,155,10,10,3,323.6,6,26.1226583888889,30.133648,28.4928836554165,33.6813043531371,21.7811636575092,27.0327567032967,22.1417783333333,28.62141,0.9,31.3,3,27.017111669863,45.50408,25.5087905368736,46.17984,31.8085445277778,46.17984,23.8136941666667,36.11806,26.0468285483871,38.3316,4,31.3,3.5,372.8,29.339882818653,51.35299,385.4
2014,"ZULU","ZULU-2014",2014-06-13,164,10,9,0,323.6,6,25.2822318333333,28.944844,28.4990981322812,33.6923754303165,22.6444490274725,27.910773956044,21.8510925,27.05047,0.9,29.4,-6,27.017111669863,45.50408,25.5087905368736,46.17984,31.8085445277778,46.17984,23.8136941666667,36.11806,26.0468285483871,38.3316,4,31.3,3.5,372.8,29.339882818653,51.35299,385.4
2014,"MMABARBIE","MMABARBIE-2014",2014-06-14,165,12,10,3,323.6,6,24.7539781111111,28.3230166666667,28.4968453329105,33.690468467518,22.7309782673993,28.001253956044,21.4528455833333,28.34612,0.9,29.4,-7,27.017111669863,45.50408,25.5087905368736,46.17984,31.8085445277778,46.17984,23.8136941666667,36.11806,26.0468285483871,38.3316,4,31.3,3.5,372.8,29.339882818653,51.35299,385.4
2014,"APOKA","APOKA-2014",2014-06-18,169,12,5,3,323.6,6,23.2182178888889,26.5232666666667,28.4815274928216,33.6759382731816,23.1692433717949,28.3773610989011,20.7649116666667,26.03844,0.9,29.4,-11,27.017111669863,45.50408,25.5087905368736,46.17984,31.8085445277778,46.17984,23.8136941666667,36.11806,26.0468285483871,38.3316,4,31.3,3.5,372.8,29.339882818653,51.35299,385.4
2015,"MMABARBIE","MMABARBIE-2015",2015-05-19,139,14,13,11,253.6,6.1,30.1450268760684,35.69732,28.5262604858681,33.7000681343698,21.6150650924908,27.7274779120879,22.7728775,28.58041,3.4,57.4,68,29.299669623516,50.21406,23.7686152309368,44.04398,29.8803304722222,44.04398,24.9690204032258,36.82029,29.9648822311828,42.19806,3.4,57.4,3.3,344.7,27.017111669863,45.50408,372.8
2015,"DOMBO","DOMBO-2015",2015-05-30,150,6,8,2,253.6,6.1,32.3926576666667,37.270816,28.4657404533399,33.6422776846197,22.3526814386447,28.2325923076923,23.001475,28.95722,3.4,57.4,57,29.299669623516,50.21406,23.7686152309368,44.04398,29.8803304722222,44.04398,24.9690204032258,36.82029,29.9648822311828,42.19806,3.4,57.4,3.3,344.7,27.017111669863,45.50408,372.8
2015,"HAT","HAT-2015",2015-06-08,159,11,13,10,323,12,26.5916383888889,29.5664506666667,28.424792330075,33.6141857134925,23.195843224359,29.1030612087912,18.96958325,26.18908,1.7,57.4,48,29.299669623516,50.21406,23.7686152309368,44.04398,29.8803304722222,44.04398,24.9690204032258,36.82029,29.9648822311828,42.19806,3.4,57.4,3.3,344.7,27.017111669863,45.50408,372.8
2015,"HUNTERS","HUNTERS-2015",2015-07-05,186,7,4,0,313.7,25,27.9441977222222,33.4644253333333,28.3253664386721,33.5238299278179,26.9528750540293,32.5777346153846,21.6069993333333,28.66034,0.5,32,21,29.299669623516,50.21406,23.7686152309368,44.04398,29.8803304722222,44.04398,24.9690204032258,36.82029,29.9648822311828,42.19806,3.4,57.4,3.3,344.7,27.017111669863,45.50408,372.8
2016,"MMABARBIE","MMABARBIE-2016",2016-05-16,137,17,7,1,350.3,9.2,25.9712959444444,29.606404,28.4555837222999,33.5775278617838,21.0912562888278,27.0092576923077,24.1944166666667,27.26532,6.2,69.9,42,28.875659965255,49.31084,24.9076911171024,41.92197,31.9370747222222,41.92197,23.3132342580645,37.12307,27.2425122580645,41.95814,6.2,69.9,9.3,376.4,29.299669623516,50.21406,344.7
2016,"APOKA","APOKA-2016",2016-06-16,168,5,7,5,395.2,6.7,28.3339640555556,32.9774073333333,28.4497379167792,33.5669931227437,23.7496133694139,29.7842213186813,21.7517796666667,30.3836,1.4,24.3,11,28.875659965255,49.31084,24.9076911171024,41.92197,31.9370747222222,41.92197,23.3132342580645,37.12307,27.2425122580645,41.95814,6.2,69.9,9.3,376.4,29.299669623516,50.21406,344.7
2016,"ZULU","ZULU-2016",2016-06-17,169,11,10,10,395.2,6.7,28.0124208333333,32.6718193333333,28.446607654638,33.5640634858519,23.8846175580586,29.8722768131868,21.5924765833333,31.49796,1.4,24.3,10,28.875659965255,49.31084,24.9076911171024,41.92197,31.9370747222222,41.92197,23.3132342580645,37.12307,27.2425122580645,41.95814,6.2,69.9,9.3,376.4,29.299669623516,50.21406,344.7
2016,"MULA","MULA-2016",2016-06-22,174,11,3,2,395.2,6.7,26.4349532777778,30.6380633333333,28.4398568610228,33.5613459661836,24.3788792906593,30.1413616483516,20.9952725,26.56216,1.4,24.3,5,28.875659965255,49.31084,24.9076911171024,41.92197,31.9370747222222,41.92197,23.3132342580645,37.12307,27.2425122580645,41.95814,6.2,69.9,9.3,376.4,29.299669623516,50.21406,344.7
2016,"HAT","HAT-2016",2016-06-25,177,17,7,2,395.2,6.7,26.886885,31.6307253333333,28.4341990578869,33.5551954204477,24.8095820653846,30.6528626373626,18.9848108333333,22.72294,1.4,24.3,2,28.875659965255,49.31084,24.9076911171024,41.92197,31.9370747222222,41.92197,23.3132342580645,37.12307,27.2425122580645,41.95814,6.2,69.9,9.3,376.4,29.299669623516,50.21406,344.7
2016,"PARADISE","PARADISE-2016",2016-08-06,219,10,9,3,416.1,64.9,20.6892949111111,25.60602,28.2214775523611,33.343618299193,32.2456876895604,37.4222287912088,23.8818205,30.87914,0.4,6.2,-40,28.875659965255,49.31084,24.9076911171024,41.92197,31.9370747222222,41.92197,23.3132342580645,37.12307,27.2425122580645,41.95814,6.2,69.9,9.3,376.4,29.299669623516,50.21406,344.7
2017,"MMABARBIE","MMABARBIE-2017",2017-05-22,142,12,16,11,302.2,5.8,24.4528487008547,27.5112066666667,28.7742871685104,33.9680038729198,21.0937815895147,27.1644871428571,20.908135,26.09579,4.4,45.3,42,26.3087854396689,50.56045,24.4163101456427,48.22677,32.3948822222222,48.22677,22.4350691397849,34.19622,26.0386243817204,38.95959,4.4,45.3,3.7,439.6,28.875659965255,49.31084,376.4
2017,"APOKA","APOKA-2017",2017-06-02,153,24,15,10,302.2,1.4,28.1178915555556,33.2338393333333,28.7977844979182,33.9838960564455,21.6024449869505,27.6671796703297,20.8347958333333,26.56113,0.8,45.3,31,26.3087854396689,50.56045,24.4163101456427,48.22677,32.3948822222222,48.22677,22.4350691397849,34.19622,26.0386243817204,38.95959,4.4,45.3,3.7,439.6,28.875659965255,49.31084,376.4
2017,"ZULU","ZULU-2017",2017-06-20,171,13,8,3,355.7,4.4,26.1365581666667,31.40099,28.7962835203177,33.9741262722351,23.1615646222985,29.118397032967,19.4586565,26.44477,0.8,36,13,26.3087854396689,50.56045,24.4163101456427,48.22677,32.3948822222222,48.22677,22.4350691397849,34.19622,26.0386243817204,38.95959,4.4,45.3,3.7,439.6,28.875659965255,49.31084,376.4
